Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Donald R. McMonagle,1987,12,Retired,5/14/52,"Flint, MI",Male,US Air Force Academy; California State University-Fresno,Astronautical Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),3,605,0,0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,
Ronald E. McNair,1978,8,Deceased,10/21/50,"Lake City, SC",Male,North Carolina A&T State College; Massachusetts Institute Of Technology,Physics,Physics,,,2,191,0,0,"STS 41-B (Challenger), STS 51-L (Challenger)",1/28/86,STS 51-L (Challenger)
Carl J. Meade,1985,11,Retired,11/16/50,"Chanute Air Force Base, IL",Male,University Of Texas; California Institute Of Technology,Electronics Engineering,Electronics Engineering,Colonel,US Air Force (Retired),3,712,1,6,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",,
Bruce E. Melnick,1987,12,Retired,12/5/49,"New York, NY",Male,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,Commander,US Coast Guard (Retired),2,311,0,0,"STS-41 (Discovery), STS-49 (Endeavor)",,
Pamela A. Melroy,1995,15,Retired,9/17/61,"Palo Alto, CA",Female,Wellesley College; Massachusetts Institute Of Technology,Physics & Astronomy,Earth & Planetary Sciences,Colonel,US Air Force (Retired),3,914,0,0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",,
Leland D. Melvin,1998,17,Management,2/15/64,"Lynchburg, VA",Male,University Of Richmond; University Of Virginia,Chemistry,Materials Science Engineering,,,2,565,0,0,"STS-122 (Atlantis), STS-129 (Atlantis)",,
Dorothy M. Metcalf-Lindenberger,2004,19,Active,5/2/75,"Colorado Springs, CO",Female,Whitman College,Geology,,,,1,362,0,0,STS-131 (Discovery),,
F. Curtis Michel,1965,4,Retired,6/5/34,"LaCrosse, WI",Male,California Institute Of Technology,Physics,Physics,,,0,0,0,0,,,
Edgar D. Massachusetts Institute Of Technologychell,1966,5,Retired,9/17/30,"Hereford, TX",Male,Carnegie-Mellon University; US Naval Postgraduate School; Massachusetts Institute Of Technology,Industrial Management,Aeronautical Engineering; Aeronautics & Astronautics,Captain,US Navy (Retired),1,216,2,9,Apollo 14,,
Barbara R. Morgan,1998,17,Retired,11/28/51,"Fresno, CA",Female,Stanford University,Human Biology,,,,1,305,0,0,STS-118 (Endeavor),,
Lee M. Morin,1996,16,Management,9/9/52,"Manchester, NH",Male,University Of New Hampshire; University Of Alabama-Birmingham; New York University,Mathematical & Electrical Science,Public Health; Biochemistry; Medicine; Microbiology,Captain,US Navy,1,259,2,14,STS-110 (Atlantis),,
Richard M. Mullane,1978,8,Retired,9/10/45,"Wichita Falls, TX",Male,US Military Academy; US Air Force Institute Of Technology,Military Engineering,Aeronautical Engineering,Colonel,US Air Force (Retired),3,356,0,0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",,
Story Musgrave,1967,6,Retired,8/19/35,"Boston, MA",Male,Syracuse University; Marietta College; University Of California-Los Angeles; University Of Kentucky; University Of Houston; Columbia University,Mathematics & Statistics; Chemistry,Business Administration; Physiology; Literature; Medicine,,,6,1281,4,26,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",,
Steven R. Nagel,1978,8,Retired,10/27/46,"Canton, IL",Male,University Of Illinois; California State University-Fresno,Aerospace Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,
Bill Nelson,,,Retired,9/29/42,"Miami, FL",Male,Yale University; University Of Virginia,,Law,Captain,US Army (Retired),1,146,0,0,STS 61-C (Columbia),,
George D. Nelson,1978,8,Retired,7/13/50,"Charles City, IA",Male,Harvey Mudd College; University Of Washington,Physics,Astronomy,,,3,411,2,10,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)",,
James H. Newman,1990,13,Retired,10/16/56,"San Diego, CA",Male,Dartmouth College; Rice University,Physics,Physics,,,4,1042,6,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,
Carlos I. Noriega,1995,15,Retired,10/8/59,"Lima, Peru",Male,University Of Southern California; US Naval Postgraduate School,Computer Science,Computer Science; Space Systems Operations,Lieutenant Colonel,US Marine Corps (Retired),2,481,3,19,"STS-84 (Atlantis), STS-97 (Endeavor)",,
Lisa M. Nowak,1996,16,Retired,5/10/63,"Washington, DC",Female,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,306,0,0,STS-121 (Discovery),,
Karen L. Nyberg,2000,18,Active,10/7/69,"Parker’s Prairie, MN",Female,University Of North Dakota; University Of Texas,Mechanical Engineering,Mechanical Engineering,,,2,4320,0,0,"STS-124 (Discovery), ISS-36/37 (Soyuz)",,
Bryan D. O'Connor,1980,9,Retired,9/6/46,"Orange, CA",Male,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,Colonel,US Marine Corps (Retired),2,383,0,0,"STS 61-B (Atlantis), STS-40 (Columbia)",,
Brian T. O'Leary,1967,6,Deceased,1/27/40,"Boston, MA",Male,Williams College; Georgetown University; University Of California-Berkeley,Physics,Astronomy,,,0,0,0,0,,7/28/11,
Ellen Ochoa,1990,13,Management,5/10/58,"Los Angeles, CA",Female,San Diego State University; Stanford University,Physics,Electrical Engineering,,,4,979,0,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,
William A. Oefelein,1998,17,Retired,3/29/65,"Ft. Belvoir, VA",Male,Oregon State University; University Of Tennessee,Electrical Engineering,Aviation Systems,Commander,US Navy (Retired),1,308,0,0,STS-116 (Discovery),,
John D. Olivas,1998,17,Retired,5/25/66,"North Hollywood, CA",Male,University Of Texas-El Paso; University Of Houston; Rice University,Mechanical Engineering,Mechanical  Engineering; Mechanical  Engineering & Materials Science,,,2,665,5,34,"STS-117 (Atlantis), STS-128 (Discovery)",,
Ellison S. Onizuka,1978,8,Deceased,6/24/46,"Kealakekua, HI",Male,University Of Colorado,Aerospace Engineering,Aerospace Engineering,Lieutenant Colonel,US Air Force,2,73,0,0,"STS 51-C (Discovery), STS 51-L (Challenger)",1/28/86,STS 51-L (Challenger)
Stephen S. Oswald,1985,11,Retired,6/30/51,"Seattle, WA",Male,US Naval Academy,Aerospace Engineering,,,,3,814,0,0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)",,
Robert F. Overmyer,1969,7,Deceased,7/14/36,"Lorain, OH",Male,Baldwin Wallace College; US Naval Postgraduate School,Physics,Aeronautics,Colonel,US Marine Corps (Retired),2,290,0,0,"STS-5 (Columbia), STS 51-B (Challenger)",3/22/96,
William A. Pailes,,,Retired,6/26/52,"Hackensack, NJ",Male,US Air Force Academy; Texas A&M University,Computer Science,Computer Science,Colonel,US Air Force (Retired),1,97,0,0,STS 51-J (Atlantis),,
Scott E. Parazynski,1992,14,Retired,7/28/61,"Little Rock, AR",Male,Stanford University,Biology,Medicine,,,5,1404,7,47,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (Discovery), STS-100 (Endeavor), STS-120 (Discovery)",,
Ronald A. Parise,,,Deceased,5/24/51,"Warren, OH",Male,Youngstown State University; University Of Florida,Physics,Astronomy,,,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",5/9/08,
Robert A. Parker,1967,6,Retired,12/14/36,"New York, NY",Male,Amherst College; California Institute Of Technology,Physics & Astronomy,Astronomy,,,2,462,0,0,"STS-9 (Columbia), STS-35 (Columbia)",,
Niclolas J. M. Patrick,1998,17,Retired,3/22/64,"North Yorkshire, England",Male,University Of Cambridge; Massachusetts Institute Of Technology,Engineering,Engineering; Mechanical Engineering,,,2,638,3,18,"STS-116 (Discovery), STS-130 (Endeavor)",,
James A. Pawelczyk,,,Retired,9/20/60,"Buffalo, NY",Male,University Of Rochester; Pennsylvania State University; University Of North Texas,Biology & Psychology,Physiology; Biology,,,1,381,0,0,STS-90 (Columbia),,
Gary E. Payton,,,Retired,6/20/48,"Rock Island, IL",Male,US Air Force Academy; Purdue University,Astronautical Engineering,Astronautical & Aeronautical Engineering,Major,US Air Force,1,73,0,0,STS 51-C (Discovery),,
Donald H. Peterson,1969,7,Retired,10/22/33,"Winona, MS",Male,US Military Academy; US Air Force Institute Of Technology,,Nuclear Engineering,Colonel,US Air Force (Retired),1,120,1,4,STS-6 (Challenger),,
Donald R. Pettit,1996,16,Active,4/20/55,"Silverton, OR",Male,Oregon State University; University Of Arizona,Chemical Engineering,Chemical Engineering,,,3,8872,2,13,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)",,
John L. Phillips,1996,16,Retired,4/15/51,"Ft. Belvoir, VA",Male,US Naval Academy; University Of West Florida; University Of California-Los Angeles,Mathematics; Russian,Aeronautical Systems; Geophysics & Space Physics,Captain,US Naval Reserves (Retired),3,4880,1,5,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)",,
William R. Pogue,1966,5,Retired,1/23/30,"Okemah, OK",Male,Oklahoma Baptist University; Oklahoma State University,Education,Mathematics,Colonel,US Air Force (Retired),1,2017,2,13,Skylab 4,,
Alan G. Poindexter,1998,17,Deceased,11/5/61,"Pasadena, CA",Male,Georgia Institute Of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,669,0,0,"STS-122 (Atlantis), STS-131 (Discovery)",7/1/12,
Mark L. Polansky,1996,16,Retired,6/2/56,"Paterson, NJ",Male,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,,,3,995,0,0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",,
Charles J. Precourt,1990,13,Retired,6/29/55,"Waltham, MA",Male,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
William F. Readdy,1987,12,Retired,1/24/52,"Quonset Point, RI",Male,US Naval Academy,Aerospace Engineering,,Captain,US Navy (Retired),3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",,
Kenneth S. Reightler Jr. ,1987,12,Retired,3/24/51,"Patuxent River, MD",Male,US Naval Academy; US Naval Postgraduate School; University Of Southern California,Aerospace Engineering,Aeronautical Engineering; Systems Management,Captain,US Navy (Retired),2,327,0,0,"STS-48 (Discovery), STS-60 (Discovery)",,
James F. Reilly II ,1995,15,Retired,3/18/54,"Mountain Home Air Force Base, ID",Male,University Of Texas-Dallas,Geosciences,Geosciences,,,3,854,5,31,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)",,
Garrett E. Reisman,1998,17,Retired,2/10/68,"Morristown, NJ",Male,University Of Pennsylvania; California Institute Of Technology,Economics,Mechanical  Engineering,,,2,2571,3,21,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)",,
Judith A. Resnik,1978,8,Deceased,4/5/49,"Akron, OH",Female,Carnegie-Mellon University; University Of Maryland,Electrical Engineering,Electrical Engineering,,,2,144,0,0,"STS 41-D (Discovery), STS 51-L (Challenger)",1/28/86,STS 51-L (Challenger)
Paul W. Richards,1996,16,Management,5/20/64,"Scranton, PA",Male,Drexel University; University Of Maryland,Mechanical Engineering,Mechanical Engineering,,,1,307,1,6,STS-102 (Discovery),,
Richard N. Richards,1980,9,Retired,8/24/46,"Key West, FL",Male,University Of Missouri; University Of West Florida,Chemical Engineering,Aeronautical Systems,Captain,US Navy (Retired),4,813,0,0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",,
Sally K. Ride,1978,8,Deceased,5/26/51,"Los Angeles, CA",Female,Stanford University,Physics; English,Physics,,,2,343,0,0,"STS-7 (Challenger), STS 41-G (Challenger)",7/23/12,
Patricia Hilliard Robertson,1998,17,Deceased,3/12/63,"Indiana, PA",Female,Indiana University Of Pennsylvania; Medical College Of Pennsylvania,Biology,Medicine,,,0,0,0,0,,5/24/01,
Stephen K. Robinson,1995,15,Retired,10/26/55,"Sacramento, CA",Male,University Of California-Davis; Stanford University,Mechanical & Aeronautical Engineering,Mechanical  Engineering,,,4,1162,3,20,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",,
Kent V. Rominger,1992,14,Retired,8/7/56,"Del Norte, CO",Male,Colorado State University; US Naval Postgraduate School,Civil Engineering,Aeronautical Engineering,Captain,US Navy (Retired),5,1611,0,0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",,
Stuart A. Roosa,1966,5,Deceased,8/16/33,"Durango, CO",Male,University Of Colorado,Aeronautical Engineering,,Colonel,US Air Force (Retired),1,216,0,0,Apollo 14,12/12/94,
Jerry L. Ross,1980,9,Retired,1/20/48,"Crown Point, IN",Male,Purdue University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),7,1393,9,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",,
Kathleen Rubins,2009,20,Active,10/14/78,"Farmington, CT",Female,University Of California-San Diego; Stanford University,Molecular Biology,Cancer Biology,,,1,2762,2,13,ISS-48/49 (Soyuz),,
Mario Runco Jr. ,1987,12,Management,1/26/52,"Bronx, NY",Male,City College Of New York; Rutgers University,Earth & Planetary Science,Atmospheric Physics,Lieutenant Commander,US Navy (Retired),3,551,0,0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)",4/23/01,
Albert Sacco Jr.,,,Retired,5/3/49,"Boston, MA",Male,Northeastern University; Massachusetts Institute Of Technology,Chemical Engineering,Chemical Engineering,,,1,381,0,0,STS-73 (Columbia),,
Robert L. Satcher Jr. ,2004,19,Retired,9/22/65,"Hampton, VA",Male,Massachusetts Institute Of Technology; Harvard University,Chemical Engineering,Chemical Engineering; Medicine,,,1,259,2,12,STS-129 (Atlantis),,
Walter M. Schirra Jr. ,1959,1,Deceased,3/12/23,"Hackensack, NJ",Male,US Naval Academy,Naval Sciences,,Captain,US Navy (Retired),3,295,0,0,"Mercury 8, Gemini 6, Apollo 7",5/2/07,
Harrison H. SchMassachusetts Institute Of Technologyt,1965,4,Retired,7/3/35,"Santa Rita, NM",Male,California Institute Of Technology; Harvard University,Geology,Geology,,,1,301,3,22,Apollo 17,,
Russell L. Schweickart,1963,3,Retired,10/25/35,"Neptune, NJ",Male,Massachusetts Institute Of Technology,Aeronautics & Astronautics,Aeronautics & Astronautics,,,1,241,1,1,Apollo 9,,
Francis R. Scobee,1978,8,Deceased,5/19/39,"Cle Elum, WA",Male,University Of Arizona,Aerospace Engineering,,Major,US Air Force (Retired),2,167,0,0,"STS 41-C (Challenger), STS 51-L (Challenger)",1/28/86,STS 51-L (Challenger)
David R. Scott,1963,3,Retired,6/6/32,"San Antonio, TX",Male,US Military Academy; Massachusetts Institute Of Technology,,Aeronautics & Astronautics,Colonel,US Air Force (Retired),3,546,4,19,"Gemini 8, Apollo 9, Apollo 15",,
Winston E. Scott,1992,14,Retired,8/6/50,"Miami, FL",Male,Florida State University; US Naval Postgraduate School,Music,Aeronautical Engineering,Captain,US Navy (Retired),2,590,3,19,"STS-72 (Endeavor), STS-87 (Columbia)",,
Paul D. Scully-Power,,,Retired,5/28/44,"Sydney, Australia",Male,University Of Sydney,Applied Mathematics,,,,1,197,0,0,STS 41-G (Challenger),,
Richard A. Searfoss,1990,13,Retired,6/5/56,"Mount Clemens, MI",Male,US Air Force Academy; California Institute Of Technology,Aeronautical Engineering,Aeronautics,Colonel,US Air Force (Retired),3,939,0,0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",,
Margaret Rhea Seddon,1978,8,Retired,11/8/47,"Murfreesboro, TN",Female,University Of California-Berkeley; University Of Tennessee,Physiology,Medicine,,,3,722,0,0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)",,
Elliot M. See Jr. ,1962,2,Deceased,7/23/27,"Dallas, TX",Male,US Merchant Marine Academy; University Of California-Los Angeles,,Engineering,,,0,0,0,0,,2/28/66,
Ronald M. Sega,1990,13,Retired,12/4/52,"Cleveland, OH",Male,US Air Force Academy; Ohio State University; University Of Colorado,Physics & Mathematics,Physics; Electrical Engineering,Colonel,US Air Force Reserves (Retired),2,420,0,0,"STS-60 (Discovery), STS-76 (Atlantis)",,
Piers J. Sellers,1996,16,Management,4/11/55,"Crowborough, England",Male,University Of Edinburgh; Leeds University,Ecological Science,Biometeorology,,,3,839,6,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",,
Brewster H. Shaw Jr. ,1978,8,Retired,5/16/45,"Cass City, MI",Male,University Of Wisconsin,Engineering Mechanics,Engineering Mechanics,Colonel,US Air Force (Retired),3,533,0,0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",,
Alan B. Shepard Jr. ,1959,1,Deceased,11/18/23,"East Derry, NH",Male,US Naval Academy,Naval Sciences,,Rear Admiral,US Navy (Retired),2,216,2,9,"Mercury 3, Apollo 14",7/21/98,
William M. Shepherd,1984,10,Retired,7/26/49,"Oak Ridge, TN",Male,US Naval Academy; Massachusetts Institute Of Technology,Aerospace Engineering,Mechanical  Engineering,Captain,US Navy (Retired),4,3823,0,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)",,
Loren J. Shriver,1978,8,Retired,9/23/44,"Jefferson, IA",Male,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),3,386,0,0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,
Donald K. Slayton,1959,1,Deceased,3/1/24,"Sparta, WI",Male,University Of Minnesota,Aeronautical Engineering,,Major,US Air Force Reserves,1,217,0,0,Apollo-Soyuz Test Project,6/13/93,
Michael J. SMassachusetts Institute Of Technologyh,1980,9,Deceased,4/30/45,"Beaufort, NC",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,Captain,US Navy,1,0,0,0,STS 51-L (Challenger),1/28/86,STS 51-L (Challenger)
Steven L. SMassachusetts Institute Of Technologyh,1992,14,Management,12/30/58,"Phoenix, AZ",Male,Stanford University,Electrical Engineering,Electrical Engineering,,,4,960,7,49,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,
Sherwood C. Spring,1980,9,Retired,9/23/44,"Hartford, CT",Male,US Military Academy; University Of Arizona,Engineering,Aerospace Engineering,Colonel,US Army (Retired),1,165,2,12,STS 61-B (Atlantis),,
Robert C. Springer,1980,9,Retired,5/21/42,"St. Louis, MO",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Operations Research,Colonel,US Marine Corps (Retired),2,237,0,0,"STS-29 (Discovery), STS-38 (Atlantis)",,
Thomas P. Stafford,1962,2,Retired,9/17/30,"Weatherford, OK",Male,US Naval Academy,,,Lieutenant General,US Air Force (Retired),4,507,0,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",,
Heidemarie M. Stefanyshyn-Piper,1996,16,Retired,2/7/63,"St. Paul, MN",Female,Massachusetts Institute Of Technology,Mechanical Engineering,,Captain,US Navy,2,663,2,33,"STS-115 (Atlantis), STS-126 (Endeavor)",,
Robert L. Stewart,1978,8,Retired,8/13/42,"Washington, DC",Male,University Of Southern Mississippi; University Of Texas-Arlington,Mathematics,Aerospace Engineering,Brigadier General,US Army (Retired),2,289,2,12,"STS 41-B (Challenger), STS 51-J (Atlantis)",,
Nicole P. Stott,2000,18,Active,11/19/62,"Albany, NY",Female,Embry-Riddle Aeronautical University; University Of Central Florida,Aeronautical Engineering,Engineering Management,,,2,2477,1,6,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",,
Frederick W. Sturckow,1995,15,Retired,8/11/61,"La Mesa, CA",Male,California Polytechnic State University,Mechanical Engineering,,Colonel,US Marine Corps (Retired),4,1233,0,0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Kathryn D. Sullivan,1978,8,Retired,10/3/51,"Patterson, NJ",Female,University Of California-Santa Cruz; Dalhousie University,Earth Sciences,Earth Sciences; Geology,,,3,532,1,3,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",,
Steven R. Swanson,1998,17,Active,12/3/60,"Syracuse, NY",Male,University Of Colorado; Florida Atlantic University; Texas A&M University,Engineering Physics,Computer Systems; Computer Science,,,3,4700,5,28,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)",,
John L. Swigert Jr. ,1966,5,Deceased,8/30/31,"Denver, CO",Male,University Of Colorado; Rensselaer Polytechnic Institute; University Of Hartford,Mechanical Engineering,Aerospace Science; Business Administration,,,1,142,0,0,Apollo 13,12/27/82,
Daniel M. Tani,1996,16,Retired,2/1/61,"Ridley Park, PA",Male,Massachusetts Institute Of Technology,Mechanical Engineering,Mechanical Engineering,,,2,3162,6,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",,
Joseph R. Tanner,1992,14,Retired,1/21/50,"Danville, IL",Male,University Of Illinois,Mechanical Engineering,,,,4,1045,7,46,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,
Norman E. Thagard,1978,8,Retired,7/3/43,"Marianna, FL",Male,Florida State University; University Of Texas,Engineering Science,Engineering Science; Medicine,,,5,3373,0,0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz/Atlantis)",,
Andrew S. W. Thomas,1992,14,Management,12/18/51,"Adelaide, Australia",Male,University Of Adelaide,Mechanical Engineering,Mechanical Engineering,,,4,4257,1,6,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",,
Donald A. Thomas,1990,13,Retired,5/6/55,"Cleveland, OH",Male,Case Western Reserve University; Cornell University,Physics,Materials Science,,,4,1040,0,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",,
Stephen D. Thorne,1985,11,Deceased,2/11/53,"Frankfurt, West Germany",Male,US Naval Academy,Engineering,,Lieutenant Commander,US Navy,0,0,0,0,,5/24/86,
Kathryn C. Thornton,1984,10,Retired,8/17/52,"Montgomery, AL",Female,Auburn University; University Of Virginia,Physics,Physics,,,4,975,3,21,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",,
William E. Thornton,1967,6,Retired,4/14/29,"Faison, NC",Male,University Of North Carolina,Physics,Medicine,,,2,315,0,0,"STS-8 (Challenger), STS 51-B (Challenger)",,
Pierre J. Thuot,1985,11,Retired,5/19/55,"Groton, CT",Male,US Naval Academy; University Of Southern California,Physics,Systems Management,Commander,US Navy,3,654,3,17,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",,
Scott D. Tingle,2009,20,Active,7/19/65,"Attleboro, MA",Male,Southeastern Massachusetts University; Purdue University,Mechanical Engineering,Mechanical Engineering,Commander,US Navy,0,0,0,0,,,
Richard H. Truly,1969,7,Retired,11/12/37,"Fayette, MS",Male,Georgia Institute Of Technology,Aeronautical Engineering,,Vice Admiral,US Navy (Retired),2,199,0,0,"STS-2 (Columbia), STS-8 (Challenger)",,
Lodewijk van den Berg,,,Retired,3/24/32,"Sluiskil, Netherlands",Male,Delft University Of Technology; University Of Delaware,Chemical Engineering,Applied Science,,,1,168,0,0,STS 51-B (Challenger),,
James D. van HOften,1978,8,Retired,6/11/44,"Fresno, CA",Male,University Of California-Berkeley; Colorado State University,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,,,2,338,4,22,"STS 41-C (Challenger), STS 51-I (Discovery)",,
Mark T. Vande Hei,2009,20,Active,11/10/66,"Falls Church, VA",Male,Saint John’s University; Stanford University,Physics,Applied Physics,Colonel,US Army,0,0,0,0,,,
Charles Lacy Veach,1984,10,Deceased,9/18/44,"Chicago, IL",Male,US Air Force Academy,Engineering Management,,,,2,436,0,0,"STS-39 (Discovery), STS-52 (Columbia)",10/3/95,
Terry W. Virts Jr. ,2000,18,Active,12/1/67,"Baltimore, MD",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Mathematics,Aeronautics,Colonel,US Air Force,2,5122,3,18,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",,
James S. Voss,1987,12,Retired,3/3/49,"Cordova, AL",Male,Auburn University; University Of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,Colonel,US Army (Retired),5,4853,4,22,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Janice E. Voss,1990,13,Deceased,10/8/56,"South Bend, IN",Female,Purdue University; Massachusetts Institute Of Technology,Engineering Science,Electrical Engineering; Aeronautics & Astronautics,,,5,1179,0,0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",2/6/12,
Rex J. Walheim,1996,16,Active,10/10/62,"Redwood, CA",Male,University Of California-Berkeley; University Of Houston,Mechanical Engineering,Industrial Engineering,Colonel,US Air Force (Retired),3,872,5,36,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,
Charles D. Walker,,,Retired,8/29/48,"Bedford, IN",Male,Purdue University,Aeronautical & Astronautical Engineering,,,,3,477,0,0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",,
David M. Walker,1978,8,Deceased,5/20/44,"Columbus, GA",Male,US Naval Academy,Naval Sciences,,Captain,US Navy (Retired),4,724,0,0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",4/23/01,
Shannon Walker,2004,19,Active,6/4/65,"Houston, TX",Female,Rice University,Space Physics,Space Physics,,,1,3919,0,0,ISS-24/25 (Soyuz),,
Carl E. Walz,1990,13,Retired,9/6/55,"Cleveland, OH",Male,Kent State University; John Carroll University,Physics,Solid State Physics,Colonel,US Air Force,4,5533,3,19,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,
Taylor G. Wang,,,Retired,6/16/40,"Jiangxi, China",Male,University Of California at Los Angeles,Physics,Physics,,,1,168,0,0,STS 51-B (Challenger),,
Mary E. Weber,1992,14,Retired,8/24/62,"Cleveland, OH",Female,Purdue University; University Of California-Berkeley,Chemical Engineering,Physical Chemistry,,,2,450,0,0,"STS-70 (Discovery), STS-101 (Atlantis)",,
Paul J. Weitz,1966,5,Retired,6/25/32,"Erie, PA",Male,Pennsylvania State University; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,793,1,2,"Skylab 2, STS-6 (Challenger)",,
James D. Wetherbee,1984,10,Retired,11/27/52,"Flushing, NY",Male,University Of Notre Dame,Aerospace Engineering,,Captain,US Navy (Retired),6,1594,0,0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",,
